"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2023","539.67","545.51","545.82","535.80","","-1.09%"
"06/22/2023","545.64","551.01","554.07","543.39","","-0.98%"
"06/21/2023","551.02","543.54","552.81","541.50","","1.74%"
"06/20/2023","541.61","546.78","547.60","539.54","","-0.94%"
"06/19/2023","546.77","550.02","550.38","542.28","","-0.61%"
"06/16/2023","550.10","548.14","553.27","548.14","","0.37%"
"06/15/2023","548.06","546.58","554.88","545.00","","0.79%"
"06/14/2023","543.75","544.64","545.66","540.85","","-0.22%"
"06/13/2023","544.96","532.42","546.51","532.42","","2.36%"
"06/12/2023","532.41","532.67","540.45","531.86","","-0.06%"
"06/09/2023","532.73","532.95","533.58","528.20","","-0.04%"
"06/08/2023","532.95","525.56","537.14","525.56","","1.41%"
"06/07/2023","525.56","521.37","527.66","520.72","","1.12%"
"06/06/2023","519.74","529.80","529.80","517.12","","-1.88%"
"06/05/2023","529.71","539.71","540.58","529.18","","-1.69%"
"06/02/2023","538.82","532.70","538.84","529.54","","1.16%"
"06/01/2023","532.62","523.09","533.13","519.43","","2.14%"
"05/31/2023","521.45","534.86","534.86","517.82","","-2.47%"
"05/30/2023","534.63","533.72","539.26","533.72","","0.40%"
"05/26/2023","532.49","528.36","533.03","524.95","","1.55%"
"05/25/2023","524.38","531.30","532.16","523.00","","-0.23%"
"05/24/2023","525.60","532.17","532.17","523.08","","-1.23%"
"05/23/2023","532.17","521.25","536.01","521.24","","2.16%"
"05/22/2023","520.91","522.63","525.87","519.17","","-0.33%"
"05/19/2023","522.63","516.81","522.93","516.81","","1.19%"
"05/16/2023","516.50","516.46","520.28","509.43","","-0.03%"
"05/15/2023","516.65","523.88","523.88","514.04","","-1.40%"
"05/12/2023","523.97","519.80","526.10","514.42","","0.90%"
"05/11/2023","519.32","509.67","523.29","509.67","","1.90%"
"05/10/2023","509.63","509.70","514.88","505.70","","0.10%"
"05/09/2023","509.10","503.82","509.10","501.61","","1.06%"
"05/08/2023","503.78","510.25","510.91","501.91","","-1.22%"
"05/05/2023","510.01","500.24","511.02","498.38","","2.00%"
"05/04/2023","499.99","528.39","528.39","499.33","","-5.39%"
"05/03/2023","528.50","537.17","537.70","527.33","","-1.61%"
"05/02/2023","537.13","548.19","548.89","537.10","","-2.02%"
"04/28/2023","548.21","540.56","548.21","536.04","","1.40%"
"04/27/2023","540.63","548.76","548.76","535.72","","-0.38%"
"04/26/2023","542.71","549.39","551.09","541.90","","-1.22%"
"04/25/2023","549.41","558.28","559.61","548.08","","-1.22%"
"04/24/2023","556.20","545.39","556.77","543.11","","2.02%"
"04/21/2023","545.21","556.13","557.62","543.96","","-1.97%"
"04/20/2023","556.14","555.27","557.00","547.63","","0.17%"
"04/19/2023","555.21","563.95","566.03","554.77","","-1.56%"
"04/18/2023","564.01","552.08","564.02","552.08","","2.18%"
"04/17/2023","551.98","539.29","553.32","539.29","","2.36%"
"04/14/2023","539.23","539.80","542.82","533.79","","-0.19%"
"04/13/2023","540.26","526.20","540.61","524.41","","2.80%"
"04/12/2023","525.53","521.76","529.71","520.18","","0.71%"
"04/11/2023","521.82","509.17","521.82","509.17","","2.45%"
"04/05/2023","509.33","508.55","512.06","505.14","","0.19%"
"04/04/2023","508.37","511.19","512.88","507.89","","-0.55%"
"04/03/2023","511.19","534.04","534.19","511.08","","-4.28%"
"03/31/2023","534.04","531.71","535.34","529.78","","0.45%"
"03/30/2023","531.66","531.33","534.59","525.17","","0.07%"
"03/29/2023","531.29","527.62","531.51","525.28","","0.70%"
"03/28/2023","527.60","531.24","535.34","524.41","","-0.69%"
"03/27/2023","531.24","524.18","533.48","522.28","","1.35%"
"03/24/2023","524.15","537.99","538.36","516.41","","-2.43%"
"03/23/2023","537.21","544.15","544.15","531.96","","-0.83%"
"03/22/2023","541.70","545.69","549.04","537.92","","-0.58%"
"03/21/2023","544.87","537.56","550.20","537.56","","1.42%"
"03/20/2023","537.24","530.35","537.96","509.84","","1.19%"
"03/17/2023","530.91","534.72","548.22","529.55","","-0.64%"
"03/16/2023","534.31","534.56","539.10","525.90","","0.01%"
"03/15/2023","534.28","558.77","558.77","529.94","","-3.73%"
"03/14/2023","554.99","537.28","555.80","534.58","","3.33%"
"03/13/2023","537.08","563.20","563.24","530.73","","-4.63%"
"03/10/2023","563.17","572.96","572.96","558.26","","-1.52%"
"03/09/2023","571.84","570.64","578.03","570.37","","0.23%"
"03/08/2023","570.55","556.66","571.19","555.27","","2.73%"
"03/07/2023","555.38","554.69","561.37","552.66","","0.10%"
"03/06/2023","554.83","565.90","569.84","554.22","","-1.89%"
"03/03/2023","565.53","561.76","566.92","556.58","","1.84%"
"03/02/2023","555.30","562.51","562.51","552.88","","-1.29%"
"03/01/2023","562.53","559.07","565.74","559.07","","0.80%"
"02/28/2023","558.06","560.41","561.82","550.54","","-0.32%"
"02/27/2023","559.83","552.18","560.42","552.18","","1.55%"
"02/24/2023","551.29","543.64","553.92","543.64","","1.40%"
"02/23/2023","543.68","531.23","543.68","531.23","","2.35%"
"02/22/2023","531.22","536.57","536.57","530.22","","-0.94%"
"02/21/2023","536.24","529.77","538.23","529.77","","1.34%"
"02/20/2023","529.16","527.04","530.70","523.78","","0.55%"
"02/17/2023","526.27","523.38","526.46","521.51","","0.58%"
"02/16/2023","523.24","517.05","524.66","517.05","","1.20%"
"02/15/2023","517.03","520.14","520.14","514.00","","-0.60%"
"02/14/2023","520.16","511.52","520.63","509.74","","1.70%"
"02/13/2023","511.45","503.58","511.61","499.52","","1.83%"
"02/10/2023","502.25","504.88","510.58","500.66","","-0.52%"
"02/09/2023","504.86","503.11","505.36","497.88","","0.38%"
"02/08/2023","502.97","508.11","514.67","501.02","","-1.02%"
"02/07/2023","508.13","493.41","510.91","493.41","","2.99%"
"02/06/2023","493.37","493.42","495.06","485.95","","-0.01%"
"02/03/2023","493.42","487.61","494.51","484.50","","1.21%"
"02/02/2023","487.52","495.30","495.30","484.50","","-1.54%"
"02/01/2023","495.17","484.17","496.06","484.17","","2.27%"
"01/31/2023","484.16","480.24","484.47","476.70","","0.93%"
"01/30/2023","479.72","469.93","480.42","468.59","","2.22%"
